accuracy,loss,val_accuracy,val_loss,learning_rate
0.6004159450531006,1.6482222080230713,0.8678237795829773,0.3578343391418457,0.0010000000474974513
0.8966131806373596,0.3376903533935547,0.9652870297431946,0.15301592648029327,0.0010000000474974513
0.9215686321258545,0.2368064820766449,0.8945260643959045,0.13628193736076355,0.0010000000474974513
0.9275103807449341,0.19476252794265747,0.8931909203529358,0.1285260021686554,0.0010000000474974513
0.94994056224823,0.1552037000656128,0.8958611488342285,0.12615551054477692,0.0010000000474974513
0.9624183177947998,0.14142857491970062,0.9786381721496582,0.08564631640911102,0.0010000000474974513
0.9855912327766418,0.08334241807460785,0.9813084006309509,0.07276012748479843,0.0010000000474974513
0.9820261597633362,0.08912216871976852,0.9786381721496582,0.08664414286613464,0.0010000000474974513
0.9894533753395081,0.06775246560573578,0.9786381721496582,0.0637587383389473,0.0010000000474974513
0.9890077114105225,0.05060519278049469,0.9679572582244873,0.10160697996616364,0.0010000000474974513
0.9916815161705017,0.04836253076791763,0.9786381721496582,0.09980650991201401,0.0010000000474974513
0.9903446435928345,0.05269730091094971,0.9773030877113342,0.06950251758098602,0.0010000000474974513
0.9953951239585876,0.019217386841773987,0.9826435446739197,0.07841990888118744,0.0005000000237487257
0.9971776604652405,0.0180385559797287,0.9813084006309509,0.08767932653427124,0.0005000000237487257
0.9970291256904602,0.015354997478425503,0.9826435446739197,0.1042700782418251,0.0005000000237487257
