accuracy,loss,val_accuracy,val_loss,learning_rate
0.5401031374931335,1.93419349193573,0.9370290637016296,0.3581458330154419,0.0010000000474974513
0.8703538775444031,0.41647064685821533,0.9520990252494812,0.20729944109916687,0.0010000000474974513
0.9160590171813965,0.28031620383262634,0.9741657972335815,0.17111150920391083,0.0010000000474974513
0.927440881729126,0.19705736637115479,0.9741657972335815,0.13847997784614563,0.0010000000474974513
0.9482482671737671,0.1778336763381958,0.9790096879005432,0.11224572360515594,0.0010000000474974513
0.9587408900260925,0.14244727790355682,0.9757804274559021,0.10248301923274994,0.0010000000474974513
0.9738573431968689,0.11893276125192642,0.9779332876205444,0.0974511206150055,0.0010000000474974513
0.9765250086784363,0.11350861936807632,0.9827771782875061,0.0662754699587822,0.0010000000474974513
0.9893295168876648,0.04888652265071869,0.9768568277359009,0.07389029860496521,0.0010000000474974513
0.9870176315307617,0.06563004851341248,0.9811625480651855,0.06534683704376221,0.0010000000474974513
