epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.5523528456687927,0.719393253326416,2.2080867290496826,1.3191447257995605
2,0.8703579306602478,0.9068255424499512,1.0121541023254395,0.7857603430747986
3,0.9223756790161133,0.9219934940338135,0.6587907075881958,0.6451597809791565
4,0.9385976791381836,0.9306609034538269,0.4975084066390991,0.5028595328330994
5,0.9463735222816467,0.9414951205253601,0.4066745340824127,0.4334810674190521
6,0.9514680504798889,0.9447454214096069,0.34731191396713257,0.37627074122428894
7,0.9565625190734863,0.9469122290611267,0.3049921691417694,0.3598773777484894
8,0.9596460461616516,0.947995662689209,0.2733670175075531,0.3327081799507141
9,0.96071857213974,0.9566630721092224,0.24936379492282867,0.28722643852233887
10,0.9650087356567383,0.9599133133888245,0.22883209586143494,0.2518364191055298
